6ET	CHEMBL391997
044	CHEMBL518174
ID5	CHEMBL399598
ZY0	CHEMBL501958
7L4	CHEMBL277148
URC	CHEMBL792
5HG	CHEMBL484
JT6	CHEMBL38851
KRT	CHEMBL140747
TBU	CHEMBL16502
3X8	CHEMBL1170072
ZYP	CHEMBL414850
7F4	CHEMBL40172
FMD	CHEMBL354634
TYZ	CHEMBL112687
232	CHEMBL1182749
AOA	CHEMBL347862
3HA	CHEMBL445304
DP9	CHEMBL228077
IOP	CHEMBL207225
TRP	CHEMBL54976
I5T	CHEMBL496189
DMO	CHEMBL222838
928	CHEMBL460460
8V3	CHEMBL448301
241	CHEMBL179330
19B	CHEMBL485285
42C	CHEMBL407391
BOW	CHEMBL24261
ETM	CHEMBL136145
E2J	CHEMBL267777
HB2	CHEMBL1082983
VMS	CHEMBL1163084
CY8	CHEMBL254129
2EC	CHEMBL304009
5MI	CHEMBL112462
EP	CHEMBL329993
BMK	CHEMBL284237
A5B	CHEMBL483158
LIW	CHEMBL218223
0D1	CHEMBL592305
R69	CHEMBL1188538
GIG	CHEMBL396056
G71	CHEMBL590740
SFA	CHEMBL410807
TSK	CHEMBL523435
D55	CHEMBL401365
B60	CHEMBL577755
K2B	CHEMBL63243
GNM	CHEMBL426699
EHA	CHEMBL201880
2GM	CHEMBL1732
4TX	CHEMBL457
GKY	CHEMBL190883
274	CHEMBL261641
AHP	CHEMBL73530
RYJ	CHEMBL451234
SCM	CHEMBL1167
3JD	CHEMBL1094636
MB5	CHEMBL461147
XXT	CHEMBL1165708
GKK	CHEMBL558664
3HP	CHEMBL190035
3D3	CHEMBL468815
DIN	CHEMBL204394
DG	CHEMBL477487
DDS	CHEMBL1383
GPI	CHEMBL6367
SN6	CHEMBL287331
SM4	CHEMBL429972
IXN	CHEMBL1198807
VVV	CHEMBL493181
XQG	CHEMBL1178
FR9	CHEMBL125386
1N	CHEMBL506022
8H1	CHEMBL1097602
J6P	CHEMBL508749
DX1	CHEMBL568202
JDC	CHEMBL415247
JNO	CHEMBL485323
300	CHEMBL25186
B5H	CHEMBL39848
3YA	CHEMBL491104
JZ4	CHEMBL225569
NMB	CHEMBL130998
FTB	CHEMBL120708
RBL	CHEMBL195989
LOG	CHEMBL402605
BRW	CHEMBL409450
6WT	CHEMBL416898
WOW	CHEMBL601500
03K	CHEMBL325606
U6M	CHEMBL472783
575	CHEMBL263143
3NF	CHEMBL65543
TMA	CHEMBL46486
KKK	CHEMBL75
0ZT	CHEMBL386563
T88	CHEMBL521808
MCR	CHEMBL116455
LDY	CHEMBL1159661
AYH	CHEMBL1093388
INL	CHEMBL433921
B48	CHEMBL1098685
2BW	CHEMBL40157
ZPQ	CHEMBL448008
EUH	CHEMBL95463
907	CHEMBL48608
190	CHEMBL371457
A90	CHEMBL71685
CXO	CHEMBL189727
7CL	CHEMBL348039
DYY	CHEMBL1090777
URF	CHEMBL185
CB3	CHEMBL389051
FOF	CHEMBL25308
ACE	CHEMBL170365
AWV	CHEMBL1623608
K3V	CHEMBL1498994
K41	CHEMBL1352374
QJZ	CHEMBL1615188
6SU	CHEMBL1384742
CNW	CHEMBL1305980
C1H	CHEMBL1738778
840	CHEMBL1230599
896	CHEMBL1230612
1ND	CHEMBL1649659
33F	CHEMBL1738720
DYZ	CHEMBL1721265
JAC	CHEMBL1649681
FG7	CHEMBL1702228
9UM	CHEMBL1649730
PFK	CHEMBL1738857
5M8	CHEMBL1738980
B0Y	CHEMBL1727378
4WG	CHEMBL1673046
C0H	CHEMBL1721570
PO6	CHEMBL1717544
HX4	CHEMBL1650269
3KH	CHEMBL1650282
EDS	CHEMBL1650559
Y10	CHEMBL1738933
Y16	CHEMBL1738934
7GC	CHEMBL1707026
6TJ	CHEMBL1705934
0U9	CHEMBL124881
QRW	CHEMBL1738877
VCA	CHEMBL1236642
06J	CHEMBL1738705
DGV	CHEMBL1783826
MV2	CHEMBL1741351
1U3	CHEMBL1741573
LL3	CHEMBL1773785
